episode,step,train_score,eval_score,best_score,epsilon,loss,q_avg_0,q_min_0,q_max_0,q_avg_1,q_min_1,q_max_1
103,1534,-4.0,-5.0,-4.0,             0.24344,0.0598568192217499,0.703,-0.493,1.082,0.665,-0.442,0.953
104,1549,-5.0,-5.0,-4.0,             0.24010,0.06470107262333234,0.872,-0.511,1.196,0.835,-0.485,1.336
105,1564,-5.0,-5.0,-4.0,             0.23681,0.057537735501925154,0.542,-1.12,1.156,0.541,-1.144,1.013
106,1579,-5.0,-5.0,-4.0,             0.23356,0.048290846620996794,0.915,-1.1,1.345,0.847,-1.196,1.295
107,1594,-5.0,-5.0,-4.0,             0.23036,0.053564308832089104,0.998,-0.025,1.522,1.079,0.054,1.663
108,1609,-5.0,-5.0,-4.0,             0.22720,0.05816466982165972,1.107,-0.556,1.56,1.024,-0.877,1.66
109,1624,-5.0,-5.0,-4.0,             0.22408,0.06124313548207283,0.723,-0.709,1.066,0.679,-0.975,1.182
110,1639,-5.0,-5.0,-4.0,             0.22100,0.05251033492386341,1.018,-0.358,1.331,0.962,-0.599,1.392
111,1654,-5.0,-5.0,-4.0,             0.21797,0.05663534576694171,0.728,-1.035,1.151,0.717,-1.025,1.158
112,1669,-5.0,-5.0,-4.0,             0.21498,0.05490038221081098,0.89,-0.909,1.202,0.886,-0.899,1.272
113,1684,-5.0,-5.0,-4.0,             0.21203,0.046829038113355634,0.654,-0.808,1.22,0.665,-0.653,1.154
114,1701,-4.0,-5.0,-4.0,             0.20874,0.054004994823652154,0.949,-0.346,1.313,0.948,-0.54,1.492
115,1716,-5.0,-5.0,-4.0,             0.20587,0.0704798586666584,0.614,-0.496,1.31,0.684,-0.218,1.346
116,1731,-5.0,-5.0,-4.0,             0.20305,0.06608301624655724,1.11,-0.765,1.456,1.08,-0.889,1.58
117,1746,-5.0,-5.0,-4.0,             0.20026,0.06142788094778855,0.86,-0.641,1.187,0.853,-0.823,1.244
118,1761,-5.0,-5.0,-4.0,             0.19751,0.05205977583924929,0.655,-0.512,1.044,0.641,-0.427,0.936
119,1768,-5.0,-5.0,-4.0,             0.19625,0.07044459826179914,1.185,1.111,1.241,1.298,1.204,1.416
120,1783,-5.0,-5.0,-4.0,             0.19355,0.05938129400213559,0.672,-0.615,1.099,0.632,-0.429,1.098
121,1798,-5.0,-5.0,-4.0,             0.19090,0.05545342763264974,0.56,-1.126,1.119,0.573,-1.032,1.024
122,1813,-5.0,-5.0,-4.0,             0.18828,0.055143216997385024,0.749,-0.835,1.296,0.749,-0.625,1.177
123,1830,-4.0,-5.0,-4.0,             0.18535,0.061379734098034745,0.568,-0.363,0.958,0.571,-0.178,1.167
124,1847,-4.0,-5.0,-4.0,             0.18247,0.045139308471013516,0.647,-0.634,1.151,0.604,-0.639,1.108
125,1862,-5.0,-5.0,-4.0,             0.17997,0.05265986546874046,0.77,-0.599,1.564,0.793,-0.273,1.453
